id,categoria,ventas,margen,frecuencia
845,Deportes,818018,291230,6
846,Tecnologia,363731,61426,5
847,Tecnologia,330490,64182,7
848,Electrodomesticos,628048,117299,4
849,Tecnologia,543804,214764,9
850,Deportes,472959,210699,8
851,Vestuario,323238,83086,8
852,Hogar,237914,72621,6
853,Hogar,635771,164734,10
854,Tecnologia,370619,90841,6
855,Tecnologia,196580,51956,3
856,Deportes,507802,200669,5
857,Vestuario,562794,219136,6
858,Deportes,543807,154580,6
859,Vestuario,1164806,239410,8
860,Tecnologia,276242,100745,5
861,Deportes,705348,257875,4
862,Hogar,120684,32472,9
863,Electrodomesticos,322491,134044,5
864,Hogar,1513663,293063,8
865,Hogar,436860,148256,9
866,Hogar,727891,130726,7
867,Hogar,382711,61569,7
868,Hogar,506591,122521,2
869,Deportes,403881,105015,6
870,Deportes,300130,76406,5
871,Electrodomesticos,327121,95026,8
872,Electrodomesticos,380600,92286,10
873,Tecnologia,496456,137801,4
874,Electrodomesticos,301427,123810,6
875,Electrodomesticos,154248,25667,4
876,Hogar,1000104,331156,3
877,Hogar,713807,292565,9
878,Deportes,255297,103232,5
879,Vestuario,245829,72446,10
880,Electrodomesticos,82707,13981,5
881,Vestuario,374170,85300,11
882,Hogar,672951,238059,10
883,Hogar,788408,146949,9
884,Deportes,193552,80550,4
885,Hogar,347053,137535,9
886,Hogar,481348,98561,5
887,Tecnologia,628473,205015,13
888,Hogar,161003,42833,8
889,Deportes,542154,87328,5
890,Hogar,322950,57454,5
891,Tecnologia,1557473,577290,4
892,Vestuario,200137,85866,9
893,Electrodomesticos,703032,223628,6
894,Vestuario,666929,234350,4
895,Vestuario,554094,101799,8
896,Vestuario,612542,180871,5
897,Vestuario,352302,130904,6
898,Electrodomesticos,231419,36654,6
899,Deportes,535026,132683,9
900,Deportes,188382,44174,4
901,Electrodomesticos,476357,87274,6
902,Deportes,346128,154932,8
903,Electrodomesticos,1028822,255314,5
904,Hogar,842085,185587,6
905,Electrodomesticos,399894,121461,12
906,Tecnologia,547327,179597,7
907,Hogar,166451,61092,8
908,Electrodomesticos,221340,60754,7
909,Hogar,328863,73347,9
910,Electrodomesticos,404231,83505,7
911,Vestuario,251660,104531,4
912,Electrodomesticos,548773,152319,6
913,Electrodomesticos,201112,55429,13
914,Tecnologia,579491,212094,9
915,Electrodomesticos,565791,117289,7
916,Tecnologia,466414,78285,8
917,Hogar,405296,97416,8
918,Vestuario,856325,357311,5
919,Tecnologia,616488,204159,8
920,Hogar,347739,79987,13
921,Tecnologia,612693,178919,5
922,Electrodomesticos,563034,95689,7
923,Deportes,476948,124054,8
924,Tecnologia,324521,57515,8
925,Deportes,703254,164112,9
926,Hogar,237416,72664,12
927,Electrodomesticos,640080,108073,4
928,Hogar,770900,281179,14
929,Electrodomesticos,474873,123243,4
930,Hogar,1293214,493247,6
931,Deportes,328775,117880,1
932,Tecnologia,899023,282848,16
933,Hogar,300149,96301,5
934,Vestuario,738289,164400,7
935,Deportes,213458,44177,4
936,Tecnologia,643836,264854,9
937,Electrodomesticos,372476,137314,6
938,Tecnologia,372919,69550,7
939,Electrodomesticos,418960,112964,9
940,Tecnologia,512194,150975,10
941,Hogar,1062886,197210,5
942,Tecnologia,555642,156760,5
943,Electrodomesticos,726251,176884,7
944,Deportes,584063,166894,7
945,Deportes,411060,129980,5
946,Tecnologia,644628,171521,10
947,Tecnologia,319503,89954,4
948,Deportes,530185,181452,3
949,Electrodomesticos,506359,187876,7
950,Hogar,372562,114073,8
951,Vestuario,494107,86379,8
952,Hogar,403370,138269,6
953,Deportes,401835,168019,7
954,Deportes,819232,359135,8
955,Deportes,385583,88686,4
956,Electrodomesticos,498629,173730,12
957,Tecnologia,282238,44867,4
958,Hogar,748693,128729,5
959,Vestuario,466707,88224,7
960,Vestuario,680249,139028,8
961,Hogar,421899,181380,9
962,Electrodomesticos,755834,228560,12
963,Deportes,248046,107919,8
964,Vestuario,502433,137445,7
965,Vestuario,543353,216842,9
966,Deportes,181785,50659,3
967,Tecnologia,247040,63767,7
968,Tecnologia,547328,164343,6
969,Hogar,818686,230882,8
970,Deportes,262325,94151,7
971,Electrodomesticos,312488,135602,10
972,Deportes,524935,174206,12
973,Electrodomesticos,366743,102280,9
974,Tecnologia,289883,61476,11
975,Vestuario,621224,96184,8
976,Electrodomesticos,520442,142858,9
977,Electrodomesticos,256079,75765,8
978,Deportes,265357,115465,9
979,Vestuario,228111,76034,3
980,Tecnologia,367991,70344,7
981,Deportes,311379,91068,8
982,Hogar,297695,62476,4
983,Hogar,810525,131663,4
984,Vestuario,1072001,362162,7
985,Hogar,384178,164245,8
986,Hogar,392559,175968,7
987,Hogar,530544,198182,10
988,Vestuario,810918,188625,7
989,Hogar,281038,64219,6
990,Tecnologia,589199,158954,6
991,Hogar,659684,227398,8
992,Deportes,347826,123683,8
993,Vestuario,276226,71417,9
994,Deportes,1456416,475850,7
995,Hogar,1122734,483417,5
996,Deportes,546052,168766,7
997,Hogar,564507,159158,5
998,Electrodomesticos,326658,98306,4
999,Vestuario,261626,66042,5
1000,Tecnologia,255736,112538,9
1001,Tecnologia,423586,152352,4
1002,Tecnologia,638325,281218,1
1003,Deportes,473233,204205,3
1004,Electrodomesticos,1292863,396816,7
1005,Vestuario,513760,184765,7
1006,Deportes,125823,49715,12
1007,Tecnologia,497672,89172,6
1008,Hogar,828045,145425,7
1009,Tecnologia,529871,92539,6
1010,Hogar,602881,121659,9
1011,Vestuario,514999,84971,6
1012,Vestuario,322181,73379,12
1013,Deportes,528667,79953,8
1014,Electrodomesticos,912532,256617,6
1015,Vestuario,305592,108989,9
1016,Vestuario,493168,83584,9
1017,Vestuario,766428,295713,5
1018,Tecnologia,167237,51169,8
1019,Deportes,222519,83974,8
1020,Electrodomesticos,163116,57210,5
1021,Deportes,251805,65601,10
1022,Deportes,566783,136888,9
1023,Vestuario,306786,117041,1
1024,Vestuario,593707,228496,7
1025,Tecnologia,733375,165241,9
1026,Tecnologia,556761,168286,8
1027,Deportes,392226,89493,6
1028,Tecnologia,382724,108412,4
1029,Vestuario,661770,290204,10
1030,Electrodomesticos,808057,324490,7
1031,Vestuario,589410,234773,8
1032,Deportes,737559,169169,11
1033,Electrodomesticos,534293,160142,5
1034,Hogar,219157,71786,6
1035,Vestuario,304572,66697,8
1036,Tecnologia,476742,84868,6
1037,Tecnologia,163411,29494,4
1038,Electrodomesticos,229576,91471,6
1039,Vestuario,455872,107689,6
1040,Tecnologia,278762,93011,6
1041,Deportes,449086,77031,10
1042,Deportes,731372,203095,8
1043,Tecnologia,192413,42734,4
1044,Tecnologia,541791,109439,14
1045,Vestuario,625295,123224,5
1046,Deportes,391402,155764,4
1047,Deportes,329254,67543,8
1048,Hogar,244367,103901,4
1049,Electrodomesticos,442826,145164,3
1050,Vestuario,552000,154124,4
1051,Deportes,944487,352681,11
1052,Hogar,667656,248222,14
1053,Electrodomesticos,655795,172459,8
1054,Deportes,292883,106026,8
1055,Electrodomesticos,229592,81699,8
1056,Vestuario,1492158,624053,7
1057,Vestuario,163707,69352,8
1058,Electrodomesticos,492280,126821,9
1059,Hogar,687524,182475,12
1060,Hogar,258799,41260,7
1061,Electrodomesticos,445768,135545,8
1062,Deportes,354205,58292,10
1063,Deportes,840461,371065,8
1064,Electrodomesticos,539804,227048,9
1065,Tecnologia,243788,74461,10
1066,Deportes,335297,140286,7
1067,Electrodomesticos,333744,137572,8
1068,Vestuario,315743,130482,6
1069,Tecnologia,648704,215995,5
1070,Deportes,315805,74820,6
1071,Deportes,833141,334377,7
1072,Tecnologia,381657,115539,4
1073,Deportes,365321,83201,6
1074,Electrodomesticos,886132,145929,7
1075,Vestuario,210221,80907,8
1076,Hogar,355650,157697,5
1077,Tecnologia,751055,264143,3
1078,Electrodomesticos,715035,142219,7
1079,Deportes,177090,58745,6
1080,Tecnologia,399907,80125,9
1081,Tecnologia,518806,90255,9
1082,Hogar,173786,77115,9
1083,Deportes,626530,239628,3
1084,Tecnologia,576570,239291,3
1085,Electrodomesticos,735613,321430,11
1086,Vestuario,601939,222265,6
1087,Vestuario,741311,324643,10
1088,Deportes,236243,91163,8
1089,Electrodomesticos,987002,241920,5
1090,Hogar,436380,162886,9
1091,Vestuario,775825,211972,6
1092,Hogar,890500,310555,5
1093,Electrodomesticos,242531,46616,2
1094,Hogar,468257,175898,7
1095,Tecnologia,239939,48456,6
1096,Deportes,148917,52932,6
1097,Tecnologia,569531,109880,7
1098,Vestuario,708902,289902,8
1099,Vestuario,712329,151316,4
1100,Deportes,239880,107810,7
1101,Electrodomesticos,213567,65368,5
1102,Tecnologia,526587,175368,5
1103,Deportes,545275,157961,4
1104,Vestuario,705636,210044,8
1105,Hogar,542491,114529,5
1106,Hogar,263646,86874,16
1107,Vestuario,724628,304200,5
1108,Electrodomesticos,706282,305715,4
1109,Deportes,475978,113250,8
1110,Tecnologia,392528,149946,8
1111,Hogar,762747,188256,7
1112,Electrodomesticos,338404,65637,3
1113,Hogar,432158,70676,3
1114,Vestuario,433077,87061,8
1115,Deportes,508050,131008,6
1116,Electrodomesticos,281444,90938,10
1117,Deportes,514257,148034,2
1118,Deportes,417933,101726,5
1119,Deportes,490788,83894,5
1120,Deportes,405249,102871,6
1121,Vestuario,293609,48597,7
1122,Tecnologia,297051,58212,8
1123,Hogar,542753,124633,6
1124,Vestuario,480986,196848,8
1125,Electrodomesticos,266514,99498,8
1126,Vestuario,247249,61495,5
1127,Vestuario,359944,94487,10
1128,Tecnologia,489934,197257,8
1129,Deportes,335186,58947,10
1130,Tecnologia,382789,133264,6
1131,Electrodomesticos,615495,268164,6
1132,Tecnologia,336820,54131,8
1133,Hogar,330068,107679,13
1134,Hogar,612955,193581,10
1135,Hogar,376621,102940,3
1136,Deportes,364918,71076,4
1137,Deportes,352241,116322,7
1138,Tecnologia,265997,42434,10
1139,Tecnologia,225357,60245,7
1140,Hogar,359521,150163,6
1141,Vestuario,634927,112241,4
1142,Deportes,237258,93841,11
1143,Tecnologia,499733,176217,7
1144,Hogar,361401,75188,6
1145,Vestuario,227811,86398,5
1146,Hogar,377433,141951,5
1147,Tecnologia,524330,133721,4
1148,Vestuario,660201,240111,8
1149,Vestuario,182035,60505,4
1150,Tecnologia,429745,87468,10
1151,Vestuario,946319,188549,8
1152,Tecnologia,233277,42880,7
1153,Hogar,419060,173979,9
1154,Electrodomesticos,267482,42409,4
1155,Tecnologia,671069,260264,5
1156,Deportes,276442,43989,6
1157,Tecnologia,497237,218869,8
1158,Vestuario,594092,204892,6
1159,Vestuario,214348,87585,7
1160,Vestuario,565641,210216,5
1161,Vestuario,537110,224116,16
1162,Deportes,877651,295544,3
1163,Deportes,671850,189182,9
1164,Electrodomesticos,398974,106384,6
1165,Vestuario,210231,61691,5
1166,Hogar,382150,91266,9
1167,Deportes,319912,52876,8
1168,Deportes,848814,287117,5
1169,Hogar,733008,276133,7
1170,Electrodomesticos,873168,223446,10
1171,Deportes,326766,103223,5
1172,Tecnologia,469338,117446,5
1173,Electrodomesticos,335113,59967,11
1174,Deportes,970053,426428,11
1175,Vestuario,498096,182091,8
1176,Hogar,821638,187627,6
1177,Hogar,314693,125894,4
1178,Electrodomesticos,518122,227456,5
1179,Deportes,301687,133306,8
1180,Electrodomesticos,210491,78406,4
1181,Vestuario,705429,230233,7
1182,Electrodomesticos,569024,110017,11
1183,Vestuario,526962,189608,5
1184,Electrodomesticos,932047,288026,11
1185,Tecnologia,96340,31029,14
1186,Tecnologia,236806,62421,8
1187,Tecnologia,224863,67747,6
1188,Hogar,770860,144057,5
1189,Electrodomesticos,816868,153710,9
1190,Electrodomesticos,395759,91331,11
1191,Deportes,478458,158783,6
1192,Deportes,236539,71290,15
1193,Deportes,774762,280924,8
1194,Deportes,257005,106472,6
1195,Vestuario,460565,90583,4
1196,Deportes,117869,34330,13
1197,Hogar,773456,306226,7
1198,Vestuario,556307,171477,4
1199,Electrodomesticos,536583,169275,8
1200,Vestuario,493332,170057,6
